Date,Risk-On_Probability,Late-Cycle_Probability,Transitional_Probability,Risk-Off_Probability,Post-Shock_Probability,Dominant_Regime,Confidence,Entropy,Uncertainty,Conformal_90_Set,CalibratedProxy_Risk-On_Probability,CalibratedProxy_Late-Cycle_Probability,CalibratedProxy_Transitional_Probability,CalibratedProxy_Risk-Off_Probability,CalibratedProxy_Post-Shock_Probability,CalibratedProxy_Dominant_Regime,CalibratedProxy_Confidence,CalibratedProxy_Entropy,CalibratedProxy_90_Set
2020-07-10,9.852617579471584e-98,4.48473999778195e-82,1.0174286277038317e-178,1.0,2.095863484172635e-178,Risk-Off,1.0,-1.000088900581841e-12,-6.213901715968123e-13,{Risk-Off},2.1544328333979508e-07,2.1544328333979508e-07,2.1544328333979508e-07,0.9999991382268666,2.1544328333979508e-07,Risk-Off,0.9999991382268666,1.4090474974204833e-05,{Risk-Off}
2020-07-13,4.574801737251136e-98,1.394445470803984e-86,9.964603637377748e-187,1.0,8.698023240751669e-187,Risk-Off,1.0,-1.000088900581841e-12,-6.213901715968123e-13,{Risk-Off},2.1544328333979508e-07,2.1544328333979508e-07,2.1544328333979508e-07,0.9999991382268666,2.1544328333979508e-07,Risk-Off,0.9999991382268666,1.4090474974204833e-05,{Risk-Off}
2020-07-14,2.833343573976128e-132,3.912854631792931e-85,2.1383981263301206e-194,1.0,8.485605709396775e-184,Risk-Off,1.0,-1.000088900581841e-12,-6.213901715968123e-13,{Risk-Off},2.1544328333979508e-07,2.1544328333979508e-07,2.1544328333979508e-07,0.9999991382268666,2.1544328333979508e-07,Risk-Off,0.9999991382268666,1.4090474974204833e-05,{Risk-Off}
2020-07-15,5.788397844517736e-108,1.1049135095661182e-78,7.6395660565349015e-171,1.0,1.3379652274164763e-166,Risk-Off,1.0,-1.000088900581841e-12,-6.213901715968123e-13,{Risk-Off},2.1544328333979508e-07,2.1544328333979508e-07,2.1544328333979508e-07,0.9999991382268666,2.1544328333979508e-07,Risk-Off,0.9999991382268666,1.4090474974204833e-05,{Risk-Off}
2020-07-16,5.838854083266387e-102,3.8969567704880985e-84,3.004398927061362e-178,1.0,1.4772316985303663e-174,Risk-Off,1.0,-1.000088900581841e-12,-6.213901715968123e-13,{Risk-Off},2.1544328333979508e-07,2.1544328333979508e-07,2.1544328333979508e-07,0.9999991382268666,2.1544328333979508e-07,Risk-Off,0.9999991382268666,1.4090474974204833e-05,{Risk-Off}
2020-07-17,7.259619693620382e-107,2.879469643025771e-80,9.67296779732642e-174,1.0,2.704604377024669e-169,Risk-Off,1.0,-1.000088900581841e-12,-6.213901715968123e-13,{Risk-Off},2.1544328333979508e-07,2.1544328333979508e-07,2.1544328333979508e-07,0.9999991382268666,2.1544328333979508e-07,Risk-Off,0.9999991382268666,1.4090474974204833e-05,{Risk-Off}
2020-07-20,5.698327927234178e-99,8.503639063195259e-82,3.333090348625101e-177,1.0,8.888233955873643e-177,Risk-Off,1.0,-1.000088900581841e-12,-6.213901715968123e-13,{Risk-Off},2.1544328333979508e-07,2.1544328333979508e-07,2.1544328333979508e-07,0.9999991382268666,2.1544328333979508e-07,Risk-Off,0.9999991382268666,1.4090474974204833e-05,{Risk-Off}
2020-07-21,1.2039094590085448e-95,8.487989518202842e-82,2.4731138262481646e-175,1.0,7.816171019458531e-173,Risk-Off,1.0,-1.000088900581841e-12,-6.213901715968123e-13,{Risk-Off},2.1544328333979508e-07,2.1544328333979508e-07,2.1544328333979508e-07,0.9999991382268666,2.1544328333979508e-07,Risk-Off,0.9999991382268666,1.4090474974204833e-05,{Risk-Off}
2020-07-22,0.0,0.0,0.0,1.0,0.0,Risk-Off,1.0,-1.000088900581841e-12,-6.213901715968123e-13,{Risk-Off},2.1544328333979508e-07,2.1544328333979508e-07,2.1544328333979508e-07,0.9999991382268666,2.1544328333979508e-07,Risk-Off,0.9999991382268666,1.4090474974204833e-05,{Risk-Off}
2020-07-23,1.7357922441243235e-101,2.6196820776497502e-79,8.917796494330669e-172,1.0,9.586014346069092e-165,Risk-Off,1.0,-1.000088900581841e-12,-6.213901715968123e-13,{Risk-Off},2.1544328333979508e-07,2.1544328333979508e-07,2.1544328333979508e-07,0.9999991382268666,2.1544328333979508e-07,Risk-Off,0.9999991382268666,1.4090474974204833e-05,{Risk-Off}
